path	notice_keyword_lines_in_entire_source
DRAKONEditor/DRAKONEditorAppDelegate.h	6: //  Copyright 2011 __MyCompanyName__. All rights reserved.
DRAKONEditor/DRAKONEditorAppDelegate.m	6: //  Copyright 2011 __MyCompanyName__. All rights reserved.
DRAKONEditor/DRAKONEditor_Prefix.pch	NONE (no keyword match; not a license grant)
DRAKONEditor/main.m	6: //  Copyright 2011 __MyCompanyName__. All rights reserved.
copy_to_launcher.sh	NONE (no keyword match; not a license grant)
copy_to_launcher_rus.sh	NONE (no keyword match; not a license grant)
docs/AutoHotkey/Diagrams from Documentation/1 (Hello, world).ahk	NONE (no keyword match; not a license grant)
docs/AutoHotkey/Diagrams from Documentation/10 (Check-Do loop).ahk	NONE (no keyword match; not a license grant)
docs/AutoHotkey/Diagrams from Documentation/11 (Do-Check-Do (hybrid) loop).ahk	NONE (no keyword match; not a license grant)
docs/AutoHotkey/Diagrams from Documentation/12 (For loop).ahk	NONE (no keyword match; not a license grant)
docs/AutoHotkey/Diagrams from Documentation/13 (For loop without loop icons).ahk	NONE (no keyword match; not a license grant)
docs/AutoHotkey/Diagrams from Documentation/14 (Simplified For loop).ahk	NONE (no keyword match; not a license grant)
docs/AutoHotkey/Diagrams from Documentation/2 (header and footer).ahk	NONE (no keyword match; not a license grant)
docs/AutoHotkey/Diagrams from Documentation/3 Free type (Hello, world).ahk	NONE (no keyword match; not a license grant)
docs/AutoHotkey/Diagrams from Documentation/4 (hotkey diagrams).ahk	NONE (no keyword match; not a license grant)
docs/AutoHotkey/Diagrams from Documentation/5 (sum of parameters).ahk	NONE (no keyword match; not a license grant)
docs/AutoHotkey/Diagrams from Documentation/6 (if).ahk	NONE (no keyword match; not a license grant)
docs/AutoHotkey/Diagrams from Documentation/7 (Switch).ahk	NONE (no keyword match; not a license grant)
docs/AutoHotkey/Diagrams from Documentation/8 (Switch).ahk	NONE (no keyword match; not a license grant)
docs/AutoHotkey/Diagrams from Documentation/9 (Do-check loop).ahk	NONE (no keyword match; not a license grant)
drakon_editor.tcl	NONE (no keyword match; not a license grant)
drakon_gen.tcl	NONE (no keyword match; not a license grant)
examples/AutoHotkey/Fibonacci sequence.ahk	NONE (no keyword match; not a license grant)
examples/AutoHotkey/Get position and color of pixel.ahk	NONE (no keyword match; not a license grant)
examples/C#/Demo.cs	NONE (no keyword match; not a license grant)
examples/C#/ReverseStringComparer.cs	NONE (no keyword match; not a license grant)
examples/C#/Sorter.cs	NONE (no keyword match; not a license grant)
examples/C++/StringList.cpp	NONE (no keyword match; not a license grant)
examples/C++/StringList.h	NONE (no keyword match; not a license grant)
examples/C++/cpp_demo.cpp	NONE (no keyword match; not a license grant)
examples/C++/cpp_demo.h	NONE (no keyword match; not a license grant)
examples/C/c_demo.c	NONE (no keyword match; not a license grant)
examples/C/c_demo.h	NONE (no keyword match; not a license grant)
examples/C2/test.c	NONE (no keyword match; not a license grant)
examples/C2/test.h	NONE (no keyword match; not a license grant)
examples/C2R/test.c	NONE (no keyword match; not a license grant)
examples/C2R/test.h	NONE (no keyword match; not a license grant)
examples/D/test.d	NONE (no keyword match; not a license grant)
examples/DrakonJS/Demo.js	NONE (no keyword match; not a license grant)
examples/DrakonLua/drakon_lua_demo.lua	NONE (no keyword match; not a license grant)
examples/Erlang/basic/basic.erl	8: %  Copyright 2015 Stepan Mitkin | 9: %  This code is PUBLIC DOMAIN.
examples/Erlang/fsm/code_door.erl	13: %  Copyright 2015 Stepan Mitkin | 14: %  This code is PUBLIC DOMAIN.
examples/Erlang/fsm/fsm_demo.erl	NONE (no keyword match; not a license grant)
examples/Erlang/fsm/lexer.erl	12: %  Copyright 2015 Stepan Mitkin | 13: %  This code is PUBLIC DOMAIN.
examples/Erlang/gen_server/musician.erl	NONE (no keyword match; not a license grant)
examples/Erlang/supervision/de_sup.erl	NONE (no keyword match; not a license grant)
examples/Erlang/supervision/session_root_sup.erl	NONE (no keyword match; not a license grant)
examples/Erlang/supervision/session_sup.erl	NONE (no keyword match; not a license grant)
examples/Erlang/supervision/super.erl	NONE (no keyword match; not a license grant)
examples/Erlang/supervision/ybed_sup.erl	NONE (no keyword match; not a license grant)
examples/Go/go_demo.go	NONE (no keyword match; not a license grant)
examples/Java/Comparer.java	NONE (no keyword match; not a license grant)
examples/Java/Demo.java	NONE (no keyword match; not a license grant)
examples/Java/ReverseStringComparer.java	NONE (no keyword match; not a license grant)
examples/Java/Sorter.java	NONE (no keyword match; not a license grant)
examples/Javascript/Demo.js	NONE (no keyword match; not a license grant)
examples/Javascript/machine_sorting.js	NONE (no keyword match; not a license grant)
examples/JsUtopist/utopist.js	NONE (no keyword match; not a license grant)
examples/KuMir/kumir_demo01.kum	NONE (no keyword match; not a license grant)
examples/KuMir/kumir_demo02.kum	NONE (no keyword match; not a license grant)
examples/Lua/lua_demo.lua	NONE (no keyword match; not a license grant)
examples/Processing.org/run.bat	NONE (no keyword match; not a license grant)
examples/Processing.org/run.sh	NONE (no keyword match; not a license grant)
examples/Processing.org/south_norway/Displacement.pde	NONE (no keyword match; not a license grant)
examples/Processing.org/south_norway/Sky.pde	NONE (no keyword match; not a license grant)
examples/Processing.org/south_norway/south_norway.pde	NONE (no keyword match; not a license grant)
examples/Python/python_demo.py	NONE (no keyword match; not a license grant)
examples/Python/short_circuit.py	NONE (no keyword match; not a license grant)
examples/QtC++/qt_cpp.cpp	NONE (no keyword match; not a license grant)
examples/QtC++/qt_cpp.h	NONE (no keyword match; not a license grant)
examples/Tcl/tcl_demo.tcl	NONE (no keyword match; not a license grant)
examples/Verilog/verilog_example.v	NONE (no keyword match; not a license grant)
examples/automaton/C#/Properties/AssemblyInfo.cs	13: [assembly: AssemblyCopyright("Copyright ©  2018")]
examples/automaton/C#/automaton-cs.cs	NONE (no keyword match; not a license grant)
examples/automaton/C#/frog.cs	NONE (no keyword match; not a license grant)
examples/automaton/C/automaton-c.c	NONE (no keyword match; not a license grant)
examples/automaton/C/automaton-c.h	NONE (no keyword match; not a license grant)
examples/automaton/C/lib.c	NONE (no keyword match; not a license grant)
examples/automaton/C/lib.h	NONE (no keyword match; not a license grant)
examples/automaton/Erlang/code_door.erl	NONE (no keyword match; not a license grant)
examples/automaton/Erlang/fsm_demo.erl	NONE (no keyword match; not a license grant)
examples/automaton/Erlang/lexer.erl	NONE (no keyword match; not a license grant)
examples/automaton/Javascript/automaton-js.js	NONE (no keyword match; not a license grant)
examples/automaton/Lua/automaton-lua.lua	NONE (no keyword match; not a license grant)
examples/automaton/Python/automaton-py.py	NONE (no keyword match; not a license grant)
examples/nools/nools_demo.nools	NONE (no keyword match; not a license grant)
examples/nools/run_demo.js	NONE (no keyword match; not a license grant)
examples/structure/C#/01-simple-cs.cs	NONE (no keyword match; not a license grant)
examples/structure/C#/02-index-cs.cs	NONE (no keyword match; not a license grant)
examples/structure/C#/03-index2-cs.cs	NONE (no keyword match; not a license grant)
examples/structure/C#/04-peer-arrow-cs.cs	NONE (no keyword match; not a license grant)
examples/structure/C#/05-own-arrow-cs.cs	NONE (no keyword match; not a license grant)
examples/structure/C#/06-peer-paw-cs.cs	NONE (no keyword match; not a license grant)
examples/structure/C#/07-own-paw-cs.cs	NONE (no keyword match; not a license grant)
examples/structure/C#/08-m2m-cs.cs	NONE (no keyword match; not a license grant)
examples/structure/C#/09-inherit-cs.cs	NONE (no keyword match; not a license grant)
examples/structure/C#/10-inherit2-cs.cs	NONE (no keyword match; not a license grant)
examples/structure/C#/11-oop-cs.cs	NONE (no keyword match; not a license grant)
examples/structure/C#/run_all.sh	NONE (no keyword match; not a license grant)
examples/structure/C/build_all.cmd	NONE (no keyword match; not a license grant)
examples/structure/C/build_m2m.cmd	NONE (no keyword match; not a license grant)
examples/structure/C/build_ownarrow.cmd	NONE (no keyword match; not a license grant)
examples/structure/C/build_ownpaw.cmd	NONE (no keyword match; not a license grant)
examples/structure/C/globals.c	NONE (no keyword match; not a license grant)
examples/structure/C/globals.h	NONE (no keyword match; not a license grant)
examples/structure/C/indexed.c	NONE (no keyword match; not a license grant)
examples/structure/C/indexed.h	NONE (no keyword match; not a license grant)
examples/structure/C/indexed2.c	NONE (no keyword match; not a license grant)
examples/structure/C/indexed2.h	NONE (no keyword match; not a license grant)
examples/structure/C/lib.c	NONE (no keyword match; not a license grant)
examples/structure/C/lib.h	NONE (no keyword match; not a license grant)
examples/structure/C/m2m.c	NONE (no keyword match; not a license grant)
examples/structure/C/m2m.h	NONE (no keyword match; not a license grant)
examples/structure/C/ownarrow.c	NONE (no keyword match; not a license grant)
examples/structure/C/ownarrow.h	NONE (no keyword match; not a license grant)
examples/structure/C/ownpaw.c	NONE (no keyword match; not a license grant)
examples/structure/C/ownpaw.h	NONE (no keyword match; not a license grant)
examples/structure/C/peerarrow.c	NONE (no keyword match; not a license grant)
examples/structure/C/peerarrow.h	NONE (no keyword match; not a license grant)
examples/structure/C/peerpaw.c	NONE (no keyword match; not a license grant)
examples/structure/C/peerpaw.h	NONE (no keyword match; not a license grant)
examples/structure/C/simple.c	NONE (no keyword match; not a license grant)
examples/structure/C/simple.h	NONE (no keyword match; not a license grant)
examples/structure/Tcl/01-simple-tcl.tcl	NONE (no keyword match; not a license grant)
examples/structure/Tcl/02-index-tcl.tcl	NONE (no keyword match; not a license grant)
examples/structure/Tcl/03-index2-tcl.tcl	NONE (no keyword match; not a license grant)
examples/structure/Tcl/04-peer-arrow-tcl.tcl	NONE (no keyword match; not a license grant)
examples/structure/Tcl/05-own-arrow-tcl.tcl	NONE (no keyword match; not a license grant)
